iter	Passed	Remaining
470	690	775
471	691	773
472	692	771
473	693	769
474	694	767
475	695	765
476	696	763
477	697	761
478	698	759
479	699	758
480	700	756
481	702	754
482	703	752
483	704	750
484	705	748
485	706	747
486	707	745
487	708	743
488	709	741
489	710	739
490	711	737
491	712	735
492	713	733
493	714	731
494	715	730
495	716	728
496	717	726
497	719	724
498	720	723
499	721	721
500	722	719
501	723	717
502	724	715
503	725	713
504	726	711
505	727	709
506	728	708
507	729	706
508	730	704
509	731	702
510	732	701
511	734	699
512	735	697
513	736	696
514	737	694
515	738	692
516	739	690
517	740	688
518	740	686
519	741	684
520	742	682
521	743	681
522	745	679
523	746	677
524	747	676
525	748	674
526	749	673
527	750	671
528	751	669
529	752	667
530	753	665
531	754	663
532	755	662
533	756	660
534	757	658
535	758	656
536	759	654
537	760	653
538	761	651
539	762	649
540	763	648
541	764	646
542	765	644
543	766	642
544	767	641
545	768	639
546	769	637
547	770	635
548	771	633
549	772	632
550	773	630
551	774	628
552	776	627
553	777	625
554	778	624
555	779	622
556	780	620
557	781	619
558	782	617
559	783	615
560	784	613
561	785	612
562	786	610
563	787	608
564	788	607
565	789	605
566	790	604
567	792	602
568	793	601
569	794	599
570	795	597
571	796	596
572	797	594
573	798	592
574	799	591
575	800	589
576	801	587
577	802	586
578	803	584
579	804	582
580	805	581
581	807	579
582	808	578
583	809	576
584	810	574
585	810	572
586	811	571
587	812	569
588	813	567
589	814	566
590	815	564
591	816	562
592	817	561
593	818	559
594	819	557
595	820	556
596	821	554
597	822	553
598	823	551
599	824	549
600	825	548
601	826	546
602	827	544
603	828	543
604	829	541
605	830	540
606	831	538
607	832	536
608	833	535
609	834	533
610	835	531
611	836	530
612	837	528
613	838	527
614	839	525
615	840	524
616	841	522
617	842	520
618	843	519
619	844	517
620	845	516
621	846	514
622	847	512
623	848	511
624	849	509
625	850	508
626	851	506
627	852	505
628	853	503
629	854	502
630	856	500
631	857	499
632	858	497
633	859	495
634	860	494
635	861	492
636	862	491
637	863	489
638	864	488
639	865	486
640	866	485
641	867	483
642	868	482
643	869	480
644	871	479
645	872	477
646	872	476
647	874	474
648	874	473
649	875	471
650	876	470
651	878	468
652	879	467
653	880	465
654	881	464
655	882	462
656	883	461
657	884	459
658	885	458
659	886	456
660	887	455
661	888	453
662	889	452
663	891	450
664	892	449
665	893	447
666	894	446
667	895	444
668	896	443
669	897	442
670	898	440
671	899	439
672	900	437
673	901	436
674	902	434
675	903	433
676	904	431
677	905	430
678	906	428
679	908	427
680	909	425
681	910	424
682	911	422
683	912	421
684	913	420
685	914	418
686	915	417
687	916	415
688	917	414
689	918	412
690	919	411
691	920	409
692	921	408
693	922	406
694	923	405
695	924	403
696	925	402
697	927	401
698	928	399
699	929	398
700	930	396
701	931	395
702	932	394
703	933	392
704	935	391
705	936	389
706	937	388
707	938	387
708	939	385
709	940	384
710	941	382
711	942	381
712	943	379
713	944	378
714	945	376
715	946	375
716	947	374
717	948	372
718	949	371
719	950	369
720	952	368
721	953	366
722	954	365
723	955	364
724	955	362
725	957	361
726	958	359
727	959	358
728	960	356
729	961	355
730	962	354
731	963	352
732	964	351
733	966	350
734	967	348
735	968	347
736	969	345
737	970	344
738	971	343
739	972	341
740	973	340
741	974	338
742	975	337
743	977	336
744	978	334
745	979	333
746	980	332
747	981	330
748	982	329
749	983	327
750	984	326
751	985	325
752	987	323
753	987	322
754	991	321
755	992	320
756	993	318
757	994	317
758	995	316
759	997	314
760	998	313
761	999	312
762	1000	310
763	1001	309
764	1002	308
765	1004	306
766	1005	305
767	1006	303
768	1007	302
769	1008	301
770	1009	299
771	1010	298
772	1011	297
773	1013	295
774	1014	294
775	1015	293
776	1016	291
777	1017	290
778	1018	288
779	1019	287
780	1020	286
781	1021	284
782	1023	283
783	1024	282
784	1025	280
785	1026	279
786	1027	278
787	1029	276
788	1030	275
789	1031	274
790	1032	272
791	1034	271
792	1035	270
793	1036	268
794	1038	267
795	1039	266
796	1041	265
797	1042	263
798	1043	262
799	1044	261
800	1045	259
801	1046	258
802	1047	257
803	1048	255
804	1049	254
805	1051	252
806	1052	251
807	1053	250
808	1054	248
809	1055	247
810	1056	246
811	1058	244
812	1059	243
813	1060	242
814	1061	240
815	1062	239
816	1063	238
817	1064	236
818	1065	235
819	1066	234
820	1067	232
821	1069	231
822	1070	230
823	1071	228
824	1072	227
825	1073	226
826	1074	224
827	1075	223
828	1076	222
829	1077	220
830	1079	219
831	1080	218
832	1081	216
833	1082	215
834	1083	214
835	1084	212
836	1085	211
837	1087	210
838	1088	208
839	1089	207
840	1090	206
841	1091	204
842	1092	203
843	1093	202
844	1094	200
845	1096	199
846	1097	198
847	1098	196
848	1100	195
849	1102	194
850	1103	193
851	1104	191
852	1105	190
853	1107	189
854	1108	187
855	1109	186
856	1110	185
857	1112	184
858	1113	182
859	1114	181
860	1115	180
861	1116	178
862	1117	177
863	1118	176
864	1120	174
865	1121	173
866	1122	172
867	1123	170
868	1124	169
869	1125	168
870	1126	166
871	1127	165
872	1128	164
873	1130	162
874	1131	161
875	1132	160
876	1133	159
877	1134	157
878	1136	156
879	1137	155
880	1138	153
881	1139	152
882	1140	151
883	1142	149
884	1143	148
885	1144	147
886	1146	146
